store_id,uptime_last_hour_min,downtime_last_hour_min,uptime_last_day_hr,downtime_last_day_hr,uptime_last_week_hr,downtime_last_week_hr,now_utc
d4f5a61b-b3ca-4783-aacf-df4939c541a4,34,0,11.26,2.24,57.83,11.67,2024-10-15 05:26:00 UTC
b16659ed-94cb-4597-b21a-6c7ff32d1573,34,0,11.26,2.74,58.08,13.92,2024-10-15 05:26:00 UTC
b30fa364-6eab-44c9-8413-72b709abd859,0,0,13.23,0.77,68.12,3.88,2024-10-15 05:26:00 UTC
c9a763d7-5eab-44a1-bd3a-86e76d27dba2,0,0,13.21,0.29,68.04,1.46,2024-10-15 05:26:00 UTC
bec1f028-bbf5-4bd6-94e0-f3dbc601926b,34,0,11.21,2.79,16.21,2.79,2024-10-15 05:26:00 UTC
2af0f0db-a799-43ae-8eea-5aa0b6c41c68,0,0,13.21,0.29,68.03,1.47,2024-10-15 05:26:00 UTC
72cdc554-3948-431b-9112-8abe61ba5376,60,0,12.02,11.98,64.62,57.38,2024-10-15 05:26:00 UTC
a6b40aca-7bb5-4eed-bcb3-2f6c6218902d,34,0,11.65,1.85,60.3,9.2,2024-10-15 05:26:00 UTC
53ba8fc3-8910-402e-aec8-13f3e8f2fb63,34,0,11.51,2.49,59.58,12.41,2024-10-15 05:26:00 UTC
85e63132-bbfe-4090-9a5c-4e6d920517cc,34,0,11.5,2.5,59.57,12.43,2024-10-15 05:26:00 UTC
1497912d-8a53-46f4-9e15-c21721e6680f,34,0,11.49,2.51,59.5,12.5,2024-10-15 05:26:00 UTC
850494bb-dab4-4607-b856-fb17b43fabda,34,0,11.49,2.51,58.99,13.01,2024-10-15 05:26:00 UTC
cfb18211-9aed-44ed-bc0c-03535be37b48,34,0,11.49,2.51,59.49,12.51,2024-10-15 05:26:00 UTC
2228b70e-4c0e-4e2a-8a42-3bc96a7fdd08,34,0,11.49,2.51,59.49,12.51,2024-10-15 05:26:00 UTC
73e5e814-3673-45c4-8741-f088d3b4d864,34,0,11.49,2.51,59.49,12.51,2024-10-15 05:26:00 UTC
163431ef-05e2-490f-b32c-fab9f9b9bcf9,34,0,11.49,2.51,59.48,12.51,2024-10-15 05:26:00 UTC
4693b057-a823-4675-a9a7-ebacca3a44c0,34,0,11.49,2.51,50.99,21.01,2024-10-15 05:26:00 UTC
22779536-c500-42b6-bce0-fe4ef3f4185a,34,0,11.49,2.51,59.48,12.52,2024-10-15 05:26:00 UTC
26e55648-95f3-4fc7-b368-c8e1493748ff,34,0,11.47,2.53,59.43,12.57,2024-10-15 05:26:00 UTC
21772201-6979-4bf4-998f-b3bb574f9e16,0,0,13.43,0.57,69.14,2.86,2024-10-15 05:26:00 UTC
5b80881a-d126-4923-976e-a1ba64ac99ae,60,0,11.86,1.57,64.19,7.8,2024-10-15 05:26:00 UTC
a869381b-f99f-4134-a95d-aeb252a707a9,60,0,11.86,1.57,64.19,7.81,2024-10-15 05:26:00 UTC
81990eed-f3df-49a1-b987-139cefe85b06,0,0,13.43,0.57,69.12,2.88,2024-10-15 05:26:00 UTC
d7597b54-4eae-4ffb-9e96-c41d18089a9a,60,0,11.86,1.57,64.18,7.82,2024-10-15 05:26:00 UTC
4e9fdd12-9de6-4151-afb1-7b4b527ac2a4,34,0,11.42,2.58,59.17,12.83,2024-10-15 05:26:00 UTC
5afc1281-c3a7-4332-a2e1-5ad4000f6af2,34,0,11.42,2.58,59.17,12.83,2024-10-15 05:26:00 UTC
1265e7fb-5374-4bf0-8a09-f6ce0fbd0ee4,34,0,11.42,2.58,59.16,12.84,2024-10-15 05:26:00 UTC
